Ville Du Pont;25650;46.999873398;6.498147193
Villers Grelot;25640;47.361512085;6.235167025
Solaure En Diois;26150;44.70587354;5.387770455
Aleyrac;26770;44.499150841;4.946083614
Andancette;26140;45.246625023;4.812717032
Aouste Sur Sye;26400;44.706856708;5.057320177
Arpavon;26110;44.371127022;5.273184253
Autichamp;26400;44.683240066;4.972677118
Barcelonne;26120;44.867074421;5.054652574
Barret De Lioure;26570;44.175483103;5.516253783
Barsac;26150;44.726373096;5.304155411
Bathernay;26260;45.183429046;4.998168321
La Baume De Transit;26790;44.327387474;4.869450955
Beaumont Monteux;26600;45.033176004;4.921702639
Beaurieres;26310;44.560126656;5.553853155
Bezaudun Sur Bine;26460;44.611710841;5.175449337
Bourdeaux;26460;44.57876787;5.151124196
Bouvieres;26460;44.52091004;5.221164785
Chabeuil;26120;44.908639476;5.007084576
Chalancon;26470;44.5274038;5.339272438
Charens;26310;44.54286183;5.509191265
Chateauneuf De Bordette;26110;44.336806994;5.17086927
Chateauneuf De Galaure;26330;45.23598326;4.95925674
Chatillon En Diois;26410;44.727672729;5.527827656
La Chaudiere;26340;44.631140483;5.224912381
Clansayes;26130;44.377976303;4.806308645
Cliousclat;26270;44.722047778;4.832868734
Colonzelle;26230;44.38487682;4.899898328
Crest;26400;44.733139856;5.021931769
Curnier;26110;44.38698497;5.234232765
Die;26150;44.748135652;5.376835914
Erome;26600;45.126817119;4.835207264
Espenel;26340;44.686022696;5.234501067
Eurre;26400;44.758105707;4.975927993
Eygluy Escoulin;26400;44.798414148;5.209675856
Eyroles;26110;44.416941616;5.242384054
Val Maravel;26310;44.591680075;5.587222071
Les Granges Gontardes;26290;44.428317184;4.756713824
Grignan;26230;44.436987743;4.901501193
Lapeyrouse Mornay;26210;45.328105714;4.988742933
Larnage;26600;45.099110897;4.862530714
Manas;26160;44.601465269;4.980622769
Marsanne;26740;44.639898191;4.88338978
Montclar Sur Gervanne;26400;44.747893678;5.158027662
Montelimar;26200;44.553792081;4.748427225
Montguers;26170;44.302079999;5.472252647
Montjoyer;26230;44.482613791;4.877866708
Valherbasse;26350;45.216168208;5.138541371
Valherbasse;26350;45.216168208;5.138541371
Oriol En Royans;26190;44.990328694;5.251299366
Parnans;26750;45.11339958;5.158848337
Le Pegue;26770;44.444502571;5.069366063
Pierrelatte;26700;44.360834471;4.6872527260000005
Le Poet Celard;26460;44.598176096;5.101350312
Ponet Et St Auban;26150;44.778467437;5.313466041
Portes En Valdaine;26160;44.52202113;4.914613989
Portes Les Valence;26800;44.875590276;4.8834792060000005
Puygiron;26160;44.540129098;4.854016575
Ratieres;26330;45.175144715;4.970854809
Rochechinard;26190;45.026967567;5.24363111
La Roche Sur Grane;26400;44.675234982;4.939585839
La Rochette Du Buis;26170;44.261109728;5.42112421
Roynac;26450;44.648746558;4.933841676
Sahune;26510;44.406403494;5.272125196
St Laurent En Royans;26190;45.009924506;5.346438976
St Marcel Les Valence;26320;44.972316676;4.95079446
St Michel Sur Savasse;26750;45.146676722;5.121626914
St Paul Les Romans;26750;45.058439752;5.12679995
Villars Les Blamont;25310;47.368383721;6.871414913
St Paul Trois Chateaux;26130;44.348362717;4.75764944
Les Villedieu;25240;46.713906258;6.26583065
Savasse;26740;44.606602596;4.778256808
Villers Buzon;25170;47.228558434;5.852186748
Serves Sur Rhone;26600;45.141682393;4.83128456
Villers La Combe;25510;47.240809828;6.473842387
Tersanne;26390;45.216236022;5.016589915
Villers Sous Chalamont;25270;46.901588322;6.045328224
La Touche;26160;44.517690883;4.886728885
Voujeaucourt;25420;47.473552905;6.782505604
Vacheres En Quint;26150;44.785851187;5.250674622
Allan;26780;44.494772796;4.798705608
Valaurie;26230;44.420693219;4.810659398
Arnayon;26470;44.493378659;5.311424062
Vercheny;26340;44.714744722;5.248623992
Aulan;26570;44.229871632;5.421906115
Villebois Les Pins;5700;44.319894409;5.597360114
Barnave;26310;44.657417517;5.36704127
Amfreville Sur Iton;27400;49.156750042;1.146870286
La Batie Des Fonds;26310;44.515357022;5.629605743
Chambois;27240;48.903700929;1.150740819
Bouchet;26790;44.297889924;4.884267214
Les Baux De Breteuil;27160;48.867071981;0.80176535
Boulc;26410;44.637864001;5.584752035
Bazincourt Sur Epte;27140;49.325664964;1.758152871
Boulc;26410;44.637864001;5.584752035
Beaubray;27190;48.910731361;0.9005451820000001
Bourg Les Valence;26500;44.965074915;4.894101357
Beauficel En Lyons;27480;49.40462201;1.5246064860000001
Chabrillan;26400;44.713207575;4.96041939
Mesnil En Ouche;27330;48.984169237;0.663553111
Le Chaffal;26190;44.873527478;5.178527282
Mesnil En Ouche;27410;48.984169237;0.663553111
Chamaloc;26150;44.812163115;5.385542014
Mesnil En Ouche;27410;48.984169237;0.663553111
Chamaret;26230;44.394882513;4.875950662
Mesnil En Ouche;27410;48.984169237;0.663553111
Chanos Curson;26600;45.05746748;4.918170247
Beaumontel;27170;49.095578177;0.7809136590000001
La Charce;26470;44.466451658;5.444633077
Le Bec Hellouin;27800;49.224984607;0.7263594830000001
Charpey;26300;44.943465377;5.079788339
Berengeville La Campagne;27110;49.113577672;1.05862225
Chastel Arnaud;26340;44.659465081;5.209842724
Bezu La Foret;27480;49.395528951;1.624694826
Chateauneuf Du Rhone;26780;44.503480345;4.724639081
Le Bois Hellain;27260;49.275935408;0.390685333
Chatillon En Diois;26410;44.727672729;5.527827656
Bois Jerome St Ouen;27620;49.103431019;1.547700003
Chaudebonne;26110;44.474916997;5.23866199
La Boissiere;27220;48.951123549;1.3682981490000001
Chavannes;26260;45.103660246;4.924426332
Boncourt;27120;49.020916802;1.29714744
Claveyson;26240;45.173018025;4.933788902
La Bonneville Sur Iton;27190;48.997430694;1.035269738
Clerieux;26260;45.080270594;4.954954155
Thenouville;27290;49.294797225;0.779810035
Comps;26220;44.552099099;5.104181652
Thenouville;27520;49.294797225;0.779810035
Crozes Hermitage;26600;45.097095561;4.843915655
Bosquentin;27480;49.413177769;1.588352055
Dieulefit;26220;44.530903236;5.065013493
Bosrobert;27800;49.22043494;0.765222257
Echevis;26190;45.024125446;5.385620338
Les Bottereaux;27250;48.8713079;0.676368454
Etoile Sur Rhone;26800;44.831287204;4.874764086
Les Bottereaux;27250;48.8713079;0.676368454
Etoile Sur Rhone;26800;44.831287204;4.874764086
Le Boulay Morin;27930;49.07596372;1.187330431
Eygalayes;26560;44.221810137;5.594230453
Boulleville;27210;49.369923794;0.392535695
Eygaliers;26170;44.240140808;5.284219517
Bouquetot;27310;49.360938843;0.7695946480000001
Eymeux;26730;45.066679994;5.18280369
Grand Bourgtheroulde;27520;49.306375612;0.861932711
Eymeux;26730;45.066679994;5.18280369
Bournainville Faverolles;27230;49.122964486;0.5004978840000001
Felines Sur Rimandoule;26160;44.585420935;5.055253269
Bournainville Faverolles;27230;49.122964486;0.5004978840000001
Hostun;26730;45.031752266;5.203965316
Bournainville Faverolles;27230;49.122964486;0.5004978840000001
Lens Lestang;26210;45.296445596;5.040911444
Bourneville Ste Croix;27500;49.398763585;0.624705032
Livron Sur Drome;26250;44.787431512;4.8387684140000005
Bourth;27580;48.763343046;0.805963651
Loriol Sur Drome;26270;44.749912404;4.805783783
Bray;27170;49.104451683;0.83678131
Luc En Diois;26310;44.610395917;5.45862719
Breteuil;27160;48.82647523;0.8926102610000001
Malissard;26120;44.901012356;4.958671397
Breux Sur Avre;27570;48.767299641;1.072142251
Marges;26260;45.131675166;5.030006513
Caumont;27310;49.367133625;0.9076812420000001
Montferrand La Fare;26510;44.342279454;5.449951443
Cauverville En Roumois;27350;49.35565286;0.647653916
Montfroc;26560;44.172581072;5.637971415
Chamblac;27270;48.99262414;0.562909255
Montjoux;26220;44.489473933;5.1033387
Chambord;27250;48.88219481;0.620334606
Montmaur En Diois;26150;44.678379452;5.363750812
La Chapelle Du Bois Des Faulx;27930;49.109312818;1.170694094
Montoison;26800;44.797481632;4.930443744
Chauvincourt Provemont;27150;49.281000867;1.645251482
Montreal Les Sources;26510;44.400585157;5.306822557
Cierrey;27930;49.001959247;1.266781494
Montsegur Sur Lauzon;26130;44.367787841;4.857559771
Collandres Quincarnon;27190;48.993708702;0.8622287660000001
Moras En Valloire;26210;45.285901433;4.999954842
Conches En Ouche;27190;48.954695406;0.9320137070000001
Mornans;26460;44.621209405;5.133479681
Conde Sur Risle;27290;49.307485598;0.608839943
La Motte Chalancon;26470;44.49554452;5.384693271
Connelles;27430;49.26031693;1.276330374
St Jean De Galaure;26240;45.199048283;4.900813422
Coudres;27220;48.863369175;1.235299332
Mours St Eusebe;26540;45.070824393;5.058943993
